comment_id,bim360_account_id,bim360_project_id,issue_id,comment_body,created_by,created_at
7bc6a6aa-238c-4b1f-bf0b-87d3f7d8a38f,49df69ab-c266-4d49-951c-031b16f7a31f,558ebe46-f44b-4ec1-a9d8-54b56cbc3883,3fc7e6bc-a277-4312-8455-ce63ccf3dc50,"No, you are still cutting three of the bottom bars at the column.  We need to make up some of that.",200802212014157,Wed Sep 25 2019 15:18:14 GMT+0000 (Coordinated Universal Time)
067792fb-d080-4a9b-961f-02302ead5f88,49df69ab-c266-4d49-951c-031b16f7a31f,7d3074b7-8110-4fbf-b5ad-2caae55b9238,097ff9bf-9cb6-4e65-ad08-270ce507a69e,Sensor straightened,YDZVKXWHN87N,Wed Sep 25 2019 15:02:21 GMT+0000 (Coordinated Universal Time)
5efc9544-b17c-4729-b236-fd4c20a78027,49df69ab-c266-4d49-951c-031b16f7a31f,558ebe46-f44b-4ec1-a9d8-54b56cbc3883,f16a9651-da33-4d19-af6a-2e43d8f1581e,FRP not required.,200802212014157,Wed Sep 25 2019 15:55:24 GMT+0000 (Coordinated Universal Time)
46edd327-690c-4ada-ba43-8f93018b6bc9,49df69ab-c266-4d49-951c-031b16f7a31f,7d3074b7-8110-4fbf-b5ad-2caae55b9238,dbe7dba2-556e-469b-b9ca-d9c28baa7d09,Sensor straightened,YDZVKXWHN87N,Wed Sep 25 2019 15:02:04 GMT+0000 (Coordinated Universal Time)
87f1dfba-09bc-4f63-a9c9-3f8072675c59,49df69ab-c266-4d49-951c-031b16f7a31f,558ebe46-f44b-4ec1-a9d8-54b56cbc3883,c213f899-3fa0-44e7-93f2-2765cc4d06e1,NO FRP required,200802212014157,Wed Sep 25 2019 15:08:36 GMT+0000 (Coordinated Universal Time)
354c2153-e0db-4782-8e1a-56aa835d998e,49df69ab-c266-4d49-951c-031b16f7a31f,41578740-5a1b-44c0-93b4-2d64296d2d93,eb3996f4-780f-490f-9c63-746568752dfb,Exit light installed at all 3 entries,L248NLLCA8KU,Wed Sep 25 2019 16:32:03 GMT+0000 (Coordinated Universal Time)
c9ca7d33-1c32-4c8e-81e4-dce39eece6d7,49df69ab-c266-4d49-951c-031b16f7a31f,558ebe46-f44b-4ec1-a9d8-54b56cbc3883,8f878784-a62e-401c-a275-b1289b89c6e9,FRP not required,200802212014157,Wed Sep 25 2019 15:52:06 GMT+0000 (Coordinated Universal Time)
a056c1b3-1a74-4158-bd50-d031e1a4c255,49df69ab-c266-4d49-951c-031b16f7a31f,558ebe46-f44b-4ec1-a9d8-54b56cbc3883,190fdc51-8313-4172-be0c-86adddae4459,"@{""type"": ""user"", ""id"": ""200802212014157"", ""name"": ""Tom Barabas""} New layout to avoid the bottom rebar on North Side of the demising wall.",JR7UJPQC36MF,Wed Sep 25 2019 16:58:17 GMT+0000 (Coordinated Universal Time)
92fe36eb-33cc-4e31-b27c-3b8565b4c77c,49df69ab-c266-4d49-951c-031b16f7a31f,558ebe46-f44b-4ec1-a9d8-54b56cbc3883,6ed01450-01d2-4b64-8644-517b5d7ea0c7,NO FRP required,200802212014157,Wed Sep 25 2019 15:52:46 GMT+0000 (Coordinated Universal Time)
98751050-57ba-40ba-bcb2-8a42556c336a,49df69ab-c266-4d49-951c-031b16f7a31f,558ebe46-f44b-4ec1-a9d8-54b56cbc3883,3fc7e6bc-a277-4312-8455-ce63ccf3dc50,"@{""type"": ""user"", ""id"": ""200802212014157"", ""name"": ""Tom Barabas""} New layout on the north side of the demising wall to avoid bottom rebar.",JR7UJPQC36MF,Wed Sep 25 2019 16:59:48 GMT+0000 (Coordinated Universal Time)
