issue_subtype_id,bim360_account_id,bim360_project_id,issue_type_id,issue_subtype,is_active,created_by,created_at,updated_by,updated_at,deleted_by,deleted_at
8676b3aa-c0e4-49a4-8c83-0a7a9d9a507b,49df69ab-c266-4d49-951c-031b16f7a31f,078c3812-7e39-4e59-978a-16dfdb93164f,f68f6573-a7cf-4cad-a7f3-c5d1ba3580fb,Client Feedback,true,System,Mon Mar 04 2019 16:44:30 GMT+0000 (Coordinated Universal Time),System,Mon Mar 04 2019 16:44:30 GMT+0000 (Coordinated Universal Time),,
05acc92c-cf39-4427-b020-f4f5857b5b5f,49df69ab-c266-4d49-951c-031b16f7a31f,078c3812-7e39-4e59-978a-16dfdb93164f,f68f6573-a7cf-4cad-a7f3-c5d1ba3580fb,Requirement Change,true,System,Mon Mar 04 2019 16:44:30 GMT+0000 (Coordinated Universal Time),System,Mon Mar 04 2019 16:44:30 GMT+0000 (Coordinated Universal Time),,
c954334e-004d-49d4-bc68-7e2889db6eb0,49df69ab-c266-4d49-951c-031b16f7a31f,078c3812-7e39-4e59-978a-16dfdb93164f,f68f6573-a7cf-4cad-a7f3-c5d1ba3580fb,Design,true,System,Mon Mar 04 2019 16:44:30 GMT+0000 (Coordinated Universal Time),System,Mon Mar 04 2019 16:44:30 GMT+0000 (Coordinated Universal Time),,
4c33c4f3-774c-4b35-8676-346e73332964,49df69ab-c266-4d49-951c-031b16f7a31f,c6446258-94a5-42b5-8257-68459a5d8796,18132c9d-fa26-42b0-bb64-4a7bba03ead8,Work to Complete,true,System,Thu Aug 02 2018 08:39:56 GMT+0000 (Coordinated Universal Time),System,Wed Oct 03 2018 13:33:30 GMT+0000 (Coordinated Universal Time),,
dbffdf61-9c2f-4902-8521-79db04cdf61f,49df69ab-c266-4d49-951c-031b16f7a31f,c6446258-94a5-42b5-8257-68459a5d8796,18132c9d-fa26-42b0-bb64-4a7bba03ead8,Work List,true,System,Thu Aug 02 2018 08:39:56 GMT+0000 (Coordinated Universal Time),System,Wed Oct 03 2018 13:33:30 GMT+0000 (Coordinated Universal Time),,
cc3ea02d-efba-4361-97fc-7a0f5183529d,49df69ab-c266-4d49-951c-031b16f7a31f,bab1f917-05d0-40d3-bca4-15400a423a50,af1cfcdb-b226-4a77-9dab-f75886a8dae3,Commissioning,true,System,Mon Apr 29 2019 21:29:30 GMT+0000 (Coordinated Universal Time),System,Mon Apr 29 2019 21:29:30 GMT+0000 (Coordinated Universal Time),,
d6ece095-37cf-477b-aaeb-0dfac6b888d2,49df69ab-c266-4d49-951c-031b16f7a31f,eb47350c-8fb3-4983-9348-2722ebb49e22,c496981c-4d02-4f05-b018-310a9b52c1ee,Existing Condition,true,,Mon Oct 22 2018 08:03:19 GMT+0000 (Coordinated Universal Time),,Mon Oct 22 2018 08:03:19 GMT+0000 (Coordinated Universal Time),,
dec5840d-9fda-4177-9081-9fa3b09e9b1e,49df69ab-c266-4d49-951c-031b16f7a31f,eb47350c-8fb3-4983-9348-2722ebb49e22,c496981c-4d02-4f05-b018-310a9b52c1ee,Building Code,true,,Mon Oct 22 2018 08:03:19 GMT+0000 (Coordinated Universal Time),,Mon Oct 22 2018 08:03:19 GMT+0000 (Coordinated Universal Time),,
bc76c0be-4eef-4fcb-904d-1145b31bf60c,49df69ab-c266-4d49-951c-031b16f7a31f,eb47350c-8fb3-4983-9348-2722ebb49e22,c496981c-4d02-4f05-b018-310a9b52c1ee,Work to Complete,true,,Mon Oct 22 2018 08:03:19 GMT+0000 (Coordinated Universal Time),,Mon Oct 22 2018 08:03:19 GMT+0000 (Coordinated Universal Time),,
628fc837-bfeb-4723-824c-c90cfe626eb7,49df69ab-c266-4d49-951c-031b16f7a31f,eb47350c-8fb3-4983-9348-2722ebb49e22,c496981c-4d02-4f05-b018-310a9b52c1ee,Client Feedback,true,,Mon Oct 22 2018 08:03:19 GMT+0000 (Coordinated Universal Time),,Mon Oct 22 2018 08:03:19 GMT+0000 (Coordinated Universal Time),,
00f64335-750f-4db2-a7cc-ed9e68fa676d,49df69ab-c266-4d49-951c-031b16f7a31f,eb47350c-8fb3-4983-9348-2722ebb49e22,c496981c-4d02-4f05-b018-310a9b52c1ee,Requirement Change,true,,Mon Oct 22 2018 08:03:19 GMT+0000 (Coordinated Universal Time),,Mon Oct 22 2018 08:03:19 GMT+0000 (Coordinated Universal Time),,
810b78e0-00ce-4e40-aa37-55025ec1317a,49df69ab-c266-4d49-951c-031b16f7a31f,eb47350c-8fb3-4983-9348-2722ebb49e22,c496981c-4d02-4f05-b018-310a9b52c1ee,Design,true,,Tue Oct 16 2018 11:37:21 GMT+0000 (Coordinated Universal Time),,Tue Oct 16 2018 11:37:21 GMT+0000 (Coordinated Universal Time),,
2358dd63-6b4e-45b3-b1c6-e2ea96ff0a3a,49df69ab-c266-4d49-951c-031b16f7a31f,bcd920b2-522c-43f2-b663-47c6ae01e076,9441b7a7-8217-4cb1-ad9d-1e5052b38582,Quality,true,,Wed Oct 31 2018 14:04:00 GMT+0000 (Coordinated Universal Time),,Wed Oct 31 2018 14:04:00 GMT+0000 (Coordinated Universal Time),,
