project_id,bim360_account_id,service
3d8cd181-4d20-4aec-b722-d90a6851458f,49df69ab-c266-4d49-951c-031b16f7a31f,field
847675e4-ceff-4b39-b0fe-6dead5162a78,49df69ab-c266-4d49-951c-031b16f7a31f,doc_manager
e95d6eb4-e101-4fb1-9d9a-b99f94136151,49df69ab-c266-4d49-951c-031b16f7a31f,field
3fe43143-9e2a-4df8-b011-5856a85ae1b4,49df69ab-c266-4d49-951c-031b16f7a31f,field
1d094a37-4a43-49d0-a535-745616fe39b5,49df69ab-c266-4d49-951c-031b16f7a31f,field
366aa617-bcc5-4d97-8b94-24be7f05ee5b,49df69ab-c266-4d49-951c-031b16f7a31f,field
f69194b9-8fad-4cba-a724-091853457fb3,49df69ab-c266-4d49-951c-031b16f7a31f,fieldManagement
ba07e09d-5c2b-4e86-8a9c-b28611e4b80a,49df69ab-c266-4d49-951c-031b16f7a31f,field
ba07e09d-5c2b-4e86-8a9c-b28611e4b80a,49df69ab-c266-4d49-951c-031b16f7a31f,insight
5125dfe0-ace0-4ad1-b74e-48c7f4aed6fb,49df69ab-c266-4d49-951c-031b16f7a31f,insight
3e29bccd-23d4-4bce-b093-d064706877cb,49df69ab-c266-4d49-951c-031b16f7a31f,fieldManagement
5125dfe0-ace0-4ad1-b74e-48c7f4aed6fb,49df69ab-c266-4d49-951c-031b16f7a31f,fieldManagement
3e29bccd-23d4-4bce-b093-d064706877cb,49df69ab-c266-4d49-951c-031b16f7a31f,doc_manager
3e29bccd-23d4-4bce-b093-d064706877cb,49df69ab-c266-4d49-951c-031b16f7a31f,insight
f4f872ee-672f-41db-890f-a84ea2577b8f,49df69ab-c266-4d49-951c-031b16f7a31f,insight
f4f872ee-672f-41db-890f-a84ea2577b8f,49df69ab-c266-4d49-951c-031b16f7a31f,doc_manager
80c1bf07-0fd4-43be-8999-39ab64743faa,49df69ab-c266-4d49-951c-031b16f7a31f,insight
bc11576b-9406-407f-a6f3-4cf0878c38a2,49df69ab-c266-4d49-951c-031b16f7a31f,insight
bc11576b-9406-407f-a6f3-4cf0878c38a2,49df69ab-c266-4d49-951c-031b16f7a31f,doc_manager
995e784a-8f75-45ab-af6d-736a12092c0e,49df69ab-c266-4d49-951c-031b16f7a31f,doc_manager
f69194b9-8fad-4cba-a724-091853457fb3,49df69ab-c266-4d49-951c-031b16f7a31f,insight
f69194b9-8fad-4cba-a724-091853457fb3,49df69ab-c266-4d49-951c-031b16f7a31f,doc_manager
5125dfe0-ace0-4ad1-b74e-48c7f4aed6fb,49df69ab-c266-4d49-951c-031b16f7a31f,doc_manager
764f3519-6fc2-40de-acd2-e71275aa84e9,49df69ab-c266-4d49-951c-031b16f7a31f,insight
07908ff8-9cf2-45b9-8a73-1f28ebe825aa,49df69ab-c266-4d49-951c-031b16f7a31f,doc_manager
07908ff8-9cf2-45b9-8a73-1f28ebe825aa,49df69ab-c266-4d49-951c-031b16f7a31f,insight
07908ff8-9cf2-45b9-8a73-1f28ebe825aa,49df69ab-c266-4d49-951c-031b16f7a31f,fieldManagement
